Frequency,Impedance,Phase,Real,Imaginary,Magnitude
30000,3988.987041,-89.01900998,-11423,-4473,12267.54491
30002,3994.42112,-89.06743497,-11410,-4456,12249.24634
30004,3969.849493,-88.9580952,-11472,-4508,12325.94207
30006,3987.096325,-88.94053736,-11421,-4492,12272.62421
30008,3991.624732,-89.0129456,-11415,-4470,12259.00179
30010,3977.289374,-88.96336663,-11451,-4496,12302.00866
30012,3956.118174,-88.86292823,-11503,-4544,12367.98064
30014,3972.746842,-89.04278584,-11469,-4489,12316.21216
30016,3967.698203,-88.97734598,-11476,-4504,12328.20311
30018,3977.168275,-88.97523117,-11451,-4495,12301.64322
30020,3978.844491,-89.03710219,-11451,-4482,12296.899
30022,3968.392774,-88.91051895,-11465,-4514,12321.62412
30024,3962.114391,-89.12498871,-11505,-4482,12347.20005
30026,3962.937512,-88.93984097,-11488,-4522,12345.95594
30028,3974.958501,-88.92028314,-11453,-4511,12309.35945
30030,3973.480012,-88.95121128,-11461,-4504,12314.24123
30032,3980.562991,-88.91211176,-11435,-4505,12290.41293
30034,3983.675551,-89.10376474,-11441,-4467,12282.124
30036,3977.278153,-88.98987008,-11453,-4497,12304.23577
30038,3980.842701,-88.98844977,-11444,-4487,12292.20505
30040,3973.876001,-88.8939977,-11454,-4520,12313.5907
30042,3979.229993,-88.92492349,-11441,-4509,12297.46161
30044,3968.974522,-89.0326053,-11474,-4499,12324.51528
30046,3966.591174,-89.00411714,-11485,-4505,12336.94654
30048,3968.173687,-88.79010764,-11461,-4546,12329.66492
30050,3973.932456,-88.94693916,-11453,-4508,12308.26036
30052,3969.415156,-88.96395083,-11466,-4516,12323.28739
30054,3964.626954,-88.95148609,-11484,-4519,12341.13516
30056,3977.78593,-89.028091,-11452,-4490,12300.74811
30058,3977.991765,-88.9278755,-11441,-4511,12298.19507
30060,3968.245268,-88.98343805,-11476,-4511,12330.76222
30062,3979.666204,-88.99210865,-11440,-4495,12291.40452
30064,3971.629655,-88.93282963,-11461,-4516,12318.63535
30066,3980.349847,-89.0462118,-11446,-4486,12293.70213
30068,3975.148869,-88.99555787,-11457,-4502,12309.78688
30070,3963.541874,-88.89029882,-11481,-4535,12344.21265
30072,3974.73988,-88.92390272,-11450,-4518,12309.13579
30074,3974.117838,-88.93267831,-11455,-4517,12313.42008
30076,3964.471661,-88.92134924,-11482,-4529,12342.93988
30078,3968.044285,-88.9517627,-11469,-4520,12327.54481
30080,3965.44037,-88.94173434,-11477,-4525,12336.82107
30082,3969.846869,-88.93185962,-11466,-4522,12325.48741
30084,3967.211192,-88.9295182,-11476,-4523,12335.15728
30086,3954.984164,-88.9094429,-11506,-4546,12371.50565
30088,3960.640899,-88.84556929,-11482,-4551,12351.02931
30090,3959.630009,-89.04232612,-11503,-4514,12356.99013
30092,3966.9921,-88.97056307,-11476,-4520,12334.05756
30094,3965.313647,-88.96242304,-11479,-4521,12337.21533
30096,3966.385112,-88.93895277,-11474,-4527,12334.76408
30098,3963.031531,-88.98419834,-11486,-4523,12344.46131
30100,3966.366938,-88.96696222,-11480,-4524,12339.24536
30102,3965.843725,-88.90351246,-11474,-4536,12338.07003
30104,3965.472472,-88.95674066,-11478,-4527,12338.48504
30106,3959.616257,-88.91829271,-11487,-4535,12349.79328
30108,3970.451894,-88.92107248,-11462,-4531,12325.07221
30110,3971.568951,-88.98940056,-11463,-4511,12318.66429
30112,3964.425876,-88.90519559,-11477,-4536,12340.85998
30114,3965.117911,-88.90645082,-11475,-4540,12340.47102
30116,3957.858204,-88.97499434,-11499,-4532,12359.85538
30118,3960.317547,-88.96985252,-11494,-4529,12354.10365
30120,3961.705371,-88.92322836,-11485,-4538,12349.03514
30122,3970.102368,-88.95282269,-11463,-4525,12323.79787
30124,3957.963491,-89.02043511,-11501,-4524,12358.78542
30126,3950.887937,-88.94644536,-11517,-4547,12382.10394
30128,3968.798503,-89.01889853,-11472,-4512,12327.40557
30130,3959.043656,-88.9558959,-11494,-4537,12357.03868
30132,3961.526982,-88.89929884,-11481,-4548,12348.99449
30134,3959.29919,-88.95834088,-11496,-4535,12358.16495
30136,3955.423928,-88.88336694,-11500,-4557,12369.97369
30138,3962.666837,-88.91511576,-11479,-4541,12344.5584
30140,3965.640227,-88.94805577,-11473,-4531,12335.30259
30142,3957.2862,-88.95847943,-11498,-4541,12362.22816
30144,3965.26647,-88.94043408,-11476,-4533,12338.82754
30146,3959.5507,-88.97781283,-11493,-4532,12354.27347
30148,3954.930956,-89.01785538,-11507,-4533,12367.66502
30150,3960.77904,-88.87675951,-11489,-4551,12357.53705
30152,3959.803857,-89.00224409,-11493,-4523,12350.97478
30154,3958.162205,-89.01857615,-11504,-4528,12363.0417
30156,3957.71324,-88.95877483,-11498,-4543,12362.96295
30158,3956.502497,-88.99284941,-11503,-4535,12364.67687
30160,3955.536812,-88.97335,-11503,-4540,12366.51159
30162,3969.009103,-89.06023258,-11472,-4511,12327.03959
30164,3955.801911,-89.04947504,-11512,-4527,12370.12017
30166,3951.785812,-88.94783063,-11517,-4547,12382.10394
30168,3962.441362,-88.9753323,-11483,-4538,12347.1751
30170,3949.675346,-88.93104588,-11518,-4554,12385.60616
30172,3952.446372,-88.91166672,-11507,-4561,12377.955
30174,3964.77637,-88.96817982,-11477,-4533,12339.75762
30176,3952.432571,-88.99870785,-11514,-4541,12377.11101
30178,3957.257482,-89.04951815,-11504,-4524,12361.57725
30180,3947.967407,-88.96093736,-11524,-4555,12391.55362
30182,3957.881939,-89.01003884,-11499,-4535,12360.95571
30184,3948.361602,-88.90031831,-11518,-4568,12390.76059
30186,3936.842107,-88.94748034,-11553,-4568,12423.30202
30188,3953.577148,-88.95971974,-11505,-4550,12372.04611
30190,3954.188111,-89.01384692,-11510,-4541,12373.39004
30192,3950.643324,-89.01278886,-11519,-4544,12382.86304
30194,3949.9111,-89.05432216,-11527,-4534,12386.64139
30196,3946.671406,-88.91453989,-11519,-4567,12391.32156
30198,3953.794393,-88.93643833,-11505,-4557,12374.62218
30200,3952.990196,-88.96960712,-11510,-4550,12376.69584
