,Frequency,Impedance,Phase,Real,Imaginary,Magnitude, 
51,18925.0,18764.762746324843,-13.89252538426922,-6.4,-255.6,255.6908299350436,
53,19275.0,18694.337122336183,-14.57870619194488,-8.4,-257.6,257.7407311505068,
54,19450.0,18488.929565611223,-14.981452126247458,-10.0,-260.2,260.3951769402248,
55,19625.0,18578.986744154383,-14.79188091974758,-8.2,-259.8,259.9309731079512,
56,19800.0,18527.95210776526,-14.5819949880153,-6.8,-259.8,259.8952941273376,
57,19975.0,18687.51751419766,-15.01315621854944,-8.4,-257.6,257.74565287567503,
58,20150.0,18620.85296197548,-15.0890496729875,-8.2,-258.4,258.5319567253578,
59,20325.0,18515.134040836663,-15.35387646992426,-9.0,-260.2,260.3793945930086,
60,20500.0,18477.81837373246,-16.0313109387676,-12.2,-260.0,260.3068090818912,
61,20675.0,18316.744956550523,-15.4796779165045,-8.0,-263.2,263.3329068331504,
62,20850.0,18444.549920685,-15.57484837128886,-8.8,-261.8,261.952252071268,
63,21025.0,18359.704539146158,-15.327862322190537,-6.4,-263.4,263.4805017820968,
64,21200.0,18386.85609252798,-15.7492346563107,-7.2,-263.0,263.10127516806176,
65,21375.0,18379.48896895526,-15.57981091407082,-6.4,-262.0,262.0809035853156,
66,21550.0,18385.853489445544,-16.025053852976345,-7.8,-262.6,262.7176192417302,
67,21725.0,18385.330992548763,-16.18581473112994,-8.2,-262.4,262.5291243119856,
68,21900.0,18262.750428399322,-16.085043664616837,-7.0,-264.4,264.4934045511224,
69,22075.0,18279.28998217012,-15.8557163484205,-5.6,-264.0,264.062080241905,
70,22250.0,18350.88476988946,-15.888066525019202,-4.6,-263.0,263.04300146250614,
71,22425.0,18425.65737491206,-16.153082281314678,-5.2,-261.8,261.8541942396854,
72,22600.0,18385.526441694798,-16.33302945583502,-5.8,-261.6,261.6715752803746,
73,22775.0,18390.2219948346,-16.7459390203447,-7.4,-262.4,262.5048237846966,
74,22950.0,18298.571678685017,-16.95431846850796,-7.8,-263.6,263.7269856148688,
75,23125.0,18324.171593343497,-16.79773787817578,-6.2,-263.2,263.2779228891014,
76,23300.0,18468.36174037412,-16.8216032878449,-5.6,-260.8,260.8710408094918,
77,23475.0,18325.901204290418,-16.96818482914668,-6.2,-263.4,263.480150197194,
78,23650.0,18244.6832495431,-17.38764876908,-8.0,-264.0,264.12277262158443,
79,23825.0,18240.58481965052,-17.26708312273156,-6.4,-264.4,264.477936177215,
80,24000.0,18379.72043576524,-16.87616931483724,-3.6,-262.2,262.2376814140508,
81,24175.0,18140.739401960058,-17.330483358809623,-6.4,-264.8,264.8929042008076,
82,24350.0,18319.604397549498,-17.355496591274438,-5.4,-263.4,263.4580005496776,
83,24525.0,18341.22150780278,-17.98197092886408,-7.4,-263.0,263.106174065491,
84,24700.0,18123.45543586776,-17.8648586227858,-6.6,-266.0,266.08386790928245,
85,24875.0,18204.677264716178,-17.787474018686737,-5.6,-265.6,265.66017951383003,
86,25050.0,18188.177254637438,-17.997757549464577,-5.8,-265.2,265.2667574195026,
87,25225.0,18164.244522056782,-18.38280405480624,-6.2,-264.8,264.8796989292746,
88,25400.0,18215.02966471646,-18.36840105499638,-6.2,-265.2,265.2773546564302,
89,25575.0,18085.57141737552,-18.529656777971063,-7.0,-266.2,266.2949361009754,
90,25750.0,17950.195225448,-18.76780110102808,-7.2,-268.8,268.8974305004996,
91,25925.0,17997.828776953957,-18.48979140383988,-5.0,-269.0,269.0479792371026,
92,26100.0,17986.679189888422,-18.197021796238978,-2.4,-269.0,269.0185987498702,
94,26450.0,18311.80969478924,-18.356755229009718,-1.8,-263.8,263.8064367391954,
95,26625.0,18185.17894167536,-19.04480432643656,-5.6,-264.8,264.86043821986675,
96,26800.0,18334.07010486346,-19.085408340262937,-6.8,-261.4,261.529803456683,
97,26975.0,18101.30423438236,-19.3564982776384,-6.2,-266.0,266.07481588303216,
98,27150.0,17955.46870886306,-19.2933107866034,-6.4,-268.6,268.686422169722,
99,27325.0,18025.628842848157,-19.63868589939178,-6.4,-267.2,267.2786816744618,
100,27500.0,18086.323092952018,-19.757634159479384,-5.8,-266.4,266.4642103716038,
101,27675.0,18048.24637822416,-19.8479812950119,-6.4,-266.6,266.6772809600194,
102,27850.0,18075.900784456702,-20.09653901345636,-6.6,-266.8,266.8836187350494,
103,28025.0,18085.478893532818,-19.63686349126744,-4.2,-266.8,266.8340781225538,
104,28200.0,18002.28939220246,-19.93221463458886,-6.2,-267.2,267.28627149470105,
105,28375.0,18019.1074103393,-20.468894875852364,-6.8,-268.2,268.2880408891304,
106,28550.0,17928.42607158508,-20.24310960628738,-4.6,-268.8,268.8413453371398,
107,28725.0,17852.179612983222,-20.31199727699074,-4.0,-270.6,270.633173581817,
108,28900.0,17849.588718623178,-20.61690711613776,-5.2,-269.2,269.2550540034166,
109,29075.0,17922.989873183597,-20.77649879444902,-5.6,-268.8,268.8618619719168,
110,29250.0,17955.97839264684,-20.690943301184056,-5.0,-267.8,267.8481283541664,
