,Frequency,Impedance,Phase,Real,Imaginary,Magnitude, 
0,10000.0,22680.541437503278,-10.959030334975079,-20.4,-213.2,214.17422730919762,
6,11050.0,23826.80203316866,-10.60117385296153,-14.6,-202.2,202.76587925835537,
7,11225.0,23396.9319856938,-11.434599416802994,-19.4,-205.6,206.767910142225,
8,11400.0,23259.40448519008,-10.248932295746064,-12.0,-207.8,208.1533544959404,
9,11575.0,23277.6242590687,-10.849829075944939,-13.2,-207.0,207.4243016580952,
10,11750.0,23379.56186604112,-10.9952106201438,-13.8,-205.6,206.065094876189,
11,11925.0,23155.05416248972,-11.71918147304778,-15.8,-208.0,208.60154670410702,
12,12100.0,23064.623833324018,-11.5919584986612,-14.8,-209.2,209.724566818522,
13,12275.0,23067.475776079118,-11.551644550807401,-14.4,-209.0,209.498914804501,
14,12450.0,22838.38602766402,-11.89233846478666,-15.2,-210.6,211.1512968620562,
15,12625.0,23258.698062024658,-12.5227355377452,-17.6,-206.2,206.9567319901452,
16,12800.0,22916.047301821778,-12.918893420192859,-19.2,-209.6,210.47892725352358,
17,12975.0,22518.223561183877,-12.919535712523881,-18.6,-214.2,215.01763861184622,
18,13150.0,22498.681714252558,-11.997575528692881,-14.0,-215.6,216.05738085971902,
19,13325.0,22738.94091127154,-11.5009191427764,-10.8,-213.0,213.27405467901582,
20,13500.0,23151.69219123506,-11.8544422548976,-11.0,-208.0,208.29730554536098,
21,13675.0,22860.6959428358,-12.73041729226256,-14.2,-209.8,210.2966435542246,
22,13850.0,22894.36567380974,-14.073060521291898,-19.8,-211.0,211.93581249656458,
23,14025.0,22627.31520225624,-13.158773972863361,-16.4,-213.8,214.42934848314022,
24,14200.0,22635.0965710464,-12.69508158723278,-13.2,-214.4,214.8110547950152,
25,14375.0,22811.148314855862,-12.08754305907874,-9.8,-212.2,212.42757473630041,
26,14550.0,23072.902724727937,-12.435278704446322,-10.4,-209.2,209.459900161431,
27,14725.0,23184.862251980223,-13.653518420068881,-14.2,-207.4,207.8967507202708,
28,14900.0,23108.9949181567,-13.957062289949238,-15.4,-208.2,208.77630890564237,
29,15075.0,23110.61622493782,-13.5212442665315,-13.8,-207.4,207.8994110793298,
30,15250.0,22983.56245033122,-13.360323629220861,-12.4,-210.4,210.7752087563844,
31,15425.0,22986.62295095254,-13.7985607566454,-13.8,-209.4,209.85542766862642,
32,15600.0,22826.554677659784,-14.42612662221832,-16.2,-209.8,210.43709503819636,
33,15775.0,22778.18542803434,-14.21449189331982,-15.4,-211.0,211.5649461050938,
34,15950.0,22728.48453448516,-14.74924161429558,-16.4,-211.8,212.4357036371454,
35,16125.0,22709.997430663883,-14.578042069186917,-15.2,-212.4,212.94347189195702,
36,16300.0,22840.647483858538,-14.688520078641758,-15.2,-210.8,211.348384748928,
37,16475.0,22997.482937596378,-14.94436819865324,-15.6,-209.4,209.98237497613718,
38,16650.0,22825.31888027768,-15.43078999074828,-17.4,-210.4,211.12346213144536,
39,16825.0,22603.50554357796,-15.777305502424003,-18.4,-213.2,213.9937386512226,
40,17000.0,22452.143302353383,-15.371641406925818,-16.2,-215.2,215.8139291394356,
41,17175.0,22521.81246686874,-14.931692293166742,-13.8,-214.6,215.04464733515678,
42,17350.0,22751.534900427403,-14.98988450092746,-12.8,-211.8,212.1868813885018,
43,17525.0,22870.54112991732,-15.8924086208711,-16.2,-210.2,210.82483846344923,
44,17700.0,22875.6161508519,-16.104475191690337,-17.0,-211.0,211.69500507438337,
45,17875.0,22345.459383635956,-15.93727551052812,-17.0,-216.0,216.6705362399794,
