Frequency,Impedance,Phase,Real,Imaginary,Magnitude
10000,4493.180501,-21.71549786,-302,-1038,1081.04024
10170,4489.316065,-21.81888235,-300,-1046,1088.170942
10340,4489.630695,-22.20988684,-296,-1052,1092.849486
10510,4493.142513,-22.58318936,-292,-1044,1084.066419
10680,4468.419113,-23.15010128,-299,-1038,1080.205999
10850,4439.661538,-23.49475094,-310,-1038,1083.302359
11020,4436.737882,-23.73779107,-317,-1040,1087.239164
11190,4415.153421,-24.09546884,-323,-1044,1092.824323
11360,4404.402162,-24.19877835,-325,-1050,1099.147397
11530,4386.851619,-24.45438148,-326,-1050,1099.443496
11700,4361.482093,-24.81196917,-334,-1053,1104.701317
11870,4360.547874,-24.86442831,-336,-1055,1107.213168
12040,4346.969148,-25.33369556,-341,-1059,1112.547527
12210,4347.471205,-25.29877953,-343,-1054,1108.406514
12380,4323.212531,-25.86413856,-346,-1061,1115.991487
12550,4303.644735,-26.06888703,-354,-1062,1119.446292
12720,4276.441833,-26.27254231,-359,-1068,1126.723125
12890,4259.595943,-26.10928031,-361,-1078,1136.839918
13060,4274.244491,-26.50835201,-362,-1077,1136.209928
13230,4272.977508,-26.67172151,-361,-1081,1139.685044
13400,4275.064314,-27.54789548,-370,-1076,1137.838301
13570,4227.179664,-27.74872534,-372,-1078,1140.380638
13740,4204.964652,-27.93002261,-379,-1083,1147.401412
13910,4196.503637,-28.11226689,-387,-1086,1152.894184
14080,4189.300332,-28.27553518,-383,-1095,1160.049137
14250,4178.435359,-28.66229695,-385,-1096,1161.654424
14420,4169.520462,-29.03397199,-387,-1095,1161.375908
14590,4146.557296,-29.30571206,-392,-1095,1163.05159
14760,4147.17839,-29.43482811,-395,-1095,1164.066149
14930,4098.013014,-29.73502956,-401,-1103,1173.631118
15100,4094.792042,-29.88351723,-406,-1106,1178.164674
15270,4096.778194,-30.14451185,-406,-1105,1177.225977
15440,4075.837049,-30.49092747,-411,-1109,1182.709601
15610,4039.9045,-30.54725458,-416,-1114,1189.139184
15780,4040.952037,-30.68016945,-421,-1117,1193.704318
15950,4034.955317,-30.98705334,-424,-1120,1197.570875
16120,4027.335057,-31.26208481,-427,-1122,1200.50531
16290,4015.494058,-31.63360231,-430,-1123,1202.509459
16460,3994.035169,-31.77016189,-435,-1128,1208.970223
16630,3978.280901,-31.93578874,-438,-1128,1210.052891
16800,3964.457308,-32.20582189,-443,-1134,1217.458418
16970,3968.730415,-32.22179035,-443,-1140,1223.049059
17140,3956.940235,-32.69168504,-447,-1141,1225.434617
17310,3937.129785,-32.63200404,-446,-1144,1227.864813
17480,3917.672236,-33.00174217,-456,-1145,1232.461358
17650,3907.781467,-33.31309318,-457,-1145,1232.8317
17820,3899.00444,-33.42027963,-463,-1151,1240.632903
17990,3888.498859,-33.33419134,-460,-1158,1246.019261
