Frequency,Impedance,Phase,Real,Imaginary,Magnitude
30000,9748.192675,-8.28E-04,1750,-4705,5019.912848
30002,9741.455218,-9.31E-03,1750,-4708,5022.724759
30004,9748.283264,-1.91E-02,1749,-4705,5019.564324
30006,9748.283264,-1.91E-02,1749,-4705,5019.564324
30008,9748.988364,1.93E-02,1751,-4704,5019.324357
30010,9748.732067,6.60E-03,1750,-4704,5018.975593
30012,9748.163198,-1.21E-03,1751,-4704,5019.324357
30014,9751.338928,-1.86E-02,1749,-4703,5017.689707
30016,9744.787831,-1.42E-02,1749,-4705,5019.564324
30018,9745.648648,5.79E-03,1751,-4705,5020.261547
30020,9745.318743,1.10E-02,1752,-4705,5020.610421
30022,9742.84976,-6.68E-02,1744,-4706,5018.761999
30024,9744.715199,3.74E-03,1751,-4705,5020.261547
30026,9748.719597,5.94E-03,1752,-4703,5018.736195
30028,9748.163198,-1.21E-03,1751,-4704,5019.324357
30030,9749.544401,2.65E-02,1752,-4703,5018.736195
30032,9749.84484,2.09E-02,1752,-4702,5017.799119
30034,9746.782181,-2.89E-02,1750,-4705,5019.912848
30036,9746.152356,-1.81E-02,1751,-4706,5021.198761
30038,9755.130618,2.06E-02,1750,-4701,5016.163973
30040,9748.180748,-1.48E-03,1752,-4704,5019.673296
30042,9746.708858,-1.10E-02,1752,-4705,5020.610421
30044,9745.936461,-4.67E-04,1753,-4703,5019.085375
30046,9749.908523,2.07E-02,1753,-4703,5019.085375
30048,9748.719597,5.94E-03,1752,-4703,5018.736195
30050,9744.562475,2.12E-02,1754,-4703,5019.434729
30052,9750.149543,1.44E-02,1755,-4700,5016.973689
30054,9749.067333,4.57E-04,1752,-4703,5018.736195
30056,9743.064128,2.98E-02,1756,-4705,5022.007666
30058,9747.217882,-3.91E-03,1753,-4703,5019.085375
30060,9746.58686,6.89E-03,1754,-4704,5020.371699
30062,9741.157775,-2.31E-02,1752,-4706,5021.54757
30064,9748.481606,-7.07E-03,1752,-4703,5018.736195
30066,9746.934752,1.40E-03,1754,-4704,5020.371699
30068,9748.754197,0.005392098,1754,-4703,5019.434729
30070,9744.512785,-9.83E-03,1753,-4705,5020.95947
30072,9745.416446,-8.17E-03,1754,-4704,5020.371699
30074,9752.74316,7.89E-03,1754,-4701,5017.560862
30076,9747.396334,2.68E-02,1756,-4703,5020.133962
30078,9742.872016,-1.57E-03,1755,-4704,5020.721163
30080,9746.302309,-6.23E-03,1754,-4703,5019.434729
30082,9748.168919,-2.14E-03,1754,-4703,5019.434729
30084,9747.520089,8.93E-03,1754,-4704,5020.371699
30086,9749.752025,-1.12E-02,1754,-4702,5018.497783
30088,9745.038694,-3.07E-03,1755,-4703,5019.784258
30090,9753.39377,-3.18E-03,1754,-4700,5016.623964
30092,9746.574352,6.23E-03,1756,-4703,5020.133962
30094,9745.623671,4.46E-03,1755,-4703,5019.784258
30096,9745.64125,4.18E-03,1756,-4703,5020.133962
30098,9743.916821,-1.80E-02,1755,-4704,5020.721163
30100,9753.917473,2.20E-02,1757,-4700,5017.673664
30102,9749.421314,-5.96E-03,1755,-4702,5018.847378
30104,9745.658845,3.90E-03,1757,-4703,5020.483841
30106,9748.140189,0.028433761,1756,-4699,5016.386847
30108,9746.365529,-5.58E-02,1753,-4705,5020.95947
30110,9754.281663,-1.24E-03,1754,-4699,5015.687092
30112,9747.46024,8.18E-03,1756,-4702,5019.197147
30114,9747.035247,-1.78E-02,1756,-4703,5020.133962
30116,9743.792942,-1.95E-04,1757,-4703,5020.483841
30118,9747.80867,2.69E-03,1756,-4702,5019.197147
30120,9747.683483,2.05E-02,1758,-4701,5018.96055
