Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
1000,6405.420914,-28.21411434,-15709,-1325,15764.78056,5644.373744,5.25585E-08
1190,8595.860901,-21.42547261,-8636,-7135,11202.17483,8001.831097,4.25955E-08
1380,11716.06233,-6.722518951,-1947,-6857,7128.061307,11635.51109,8.40941E-08
1570,17652.79685,15.28594116,1179,-3608,3795.748279,17028.27862,-2.17831E-08
1760,39139.482,47.68378659,1057,-844,1352.621529,26349.55195,-3.12469E-09
1950,265093.0818,-88.9548537,-184,6,184.0978001,4835.359431,3.07948E-10
2140,56959.42316,-57.03392146,-797,-415,898.5733136,30994.03791,1.55633E-09
2330,53255.91457,-28.97127972,-534,-842,997.0556654,46591.60866,2.64811E-09
2520,75353.48318,-4.297454105,-57,-693,695.3402045,75141.62416,1.11854E-08
2710,197297.7882,6.579561401,32,-252,254.0236209,195998.3263,-2.59793E-09
2900,218158.3146,-87.19541155,-224,-9,224.1807307,10674.43346,2.51877E-10
3090,108620.9891,-77.64443217,-446,-87,454.4062059,23242.48737,4.85449E-10
3280,99324.14029,-60.43447362,-442,-242,503.9126909,49008.38034,5.61687E-10
3470,127503.0582,-51.60875067,-307,-245,392.7772906,79182.9796,4.58976E-10
3660,170048.8258,-67.54399735,-267,-115,290.7129168,64954.20873,2.76714E-10
3850,134190.5228,-86.99322832,-364,-23,364.7259245,7038.82726,3.08499E-10
4040,103416.8878,-84.29742581,-472,-50,474.6409169,10275.96276,3.82843E-10
4230,98564.20959,-76.37722089,-486,-123,501.323249,23214.68216,3.928E-10
4420,107610.6262,-73.33606246,-438,-141,460.1358495,30858.16505,3.49296E-10
4610,114244.1494,-79.98080556,-422,-87,430.8746918,19875.97828,3.06887E-10
4800,101799.4736,-86.58693442,-479,-42,480.8378105,6060.530676,3.26304E-10
4990,88994.04295,-85.5635052,-548,-57,550.9564411,6884.053178,3.59485E-10
5180,85305.01308,-81.01298835,-567,-107,577.0077989,13325.54408,3.64669E-10
5370,89162.66313,-78.57567081,-538,-130,553.4835138,17660.76696,3.39135E-10
5560,90411.13669,-81.99790399,-535,-99,544.0827143,12586.0735,3.19736E-10
5750,85795.50648,-85.74067453,-567,-68,571.0630438,6372.101063,3.23525E-10
5940,78243.92146,-86.04461177,-622,-71,626.0391362,5397.244354,3.43271E-10
6130,74538.14926,-83.66931671,-651,-103,659.0978683,8219.067224,3.50474E-10
6320,74509.86373,-81.77867885,-648,-128,660.5210065,10654.70513,3.41503E-10
6510,75814.36719,-82.45725338,-637,-122,648.5776746,9951.83677,3.25297E-10
6700,73343.67623,-85.32244851,-662,-95,668.7817282,5981.031533,3.24975E-10
6890,70031.92426,-85.96856089,-693,-92,699.0801099,4923.513376,3.30673E-10
7080,66873.92266,-85.2428604,-725,-107,732.8533278,5546.014129,3.37324E-10
7270,65418.69188,-84.05350299,-739,-127,749.8333148,6777.358812,3.36469E-10
7460,64524.14449,-84.18092498,-749,-130,760.1980005,6541.942291,3.3237E-10
7650,63033.50211,-84.91143561,-767,-125,777.1190385,5590.787748,3.31376E-10
7840,60605.6583,-85.24342495,-798,-127,808.0426969,5025.576884,3.3613E-10
8030,58763.48426,-84.66083971,-822,-141,834.0053957,5468.00801,3.38769E-10
8220,57861.00461,-83.96625932,-833,-156,847.4815632,6082.007715,3.36506E-10
8410,56952.14875,-84.01438908,-846,-161,861.183488,5938.89597,3.34123E-10
8600,55881.61465,-84.49719879,-862,-159,876.5414993,5358.734898,3.32719E-10
8790,54329.2327,-84.47715058,-886,-165,901.2330442,5228.792398,3.3484E-10
8980,52682.03316,-84.13693087,-913,-178,930.1897656,5381.541572,3.38203E-10
9170,51670.60991,-83.54027098,-929,-194,949.0400413,5813.193842,3.38058E-10
9360,51132.03273,-83.61785882,-938,-198,958.6699119,5683.794524,3.34634E-10
9550,50379.19678,-83.89745597,-952,-199,972.5764751,5355.722815,3.32699E-10
9740,49145.21278,-84.18191295,-976,-201,996.4823129,4981.867646,3.34227E-10
9930,47749.81705,-83.81911838,-1003,-215,1025.784578,5141.109287,3.37637E-10
10120,46870.97497,-83.20186781,-1020,-233,1046.273865,5548.192216,3.37923E-10
10310,46404.59321,-82.64063528,-1027,-249,1056.754465,5944.068834,3.35437E-10
10500,45934.44369,-83.07586343,-1038,-247,1066.98313,5537.628684,3.32422E-10
10690,45213.33337,-83.47505531,-1055,-246,1083.300974,5137.852012,3.31449E-10
10880,44217.0478,-83.6105658,-1078,-251,1106.835579,4920.723858,3.32909E-10
11070,43312.35614,-83.67173475,-1100,-258,1129.851318,4774.088873,3.3399E-10
11260,42499.77086,-83.00438686,-1118,-278,1152.045138,5176.189405,3.35088E-10
11450,41845.8975,-83.04246023,-1135,-285,1170.235019,5068.95103,3.34649E-10
11640,41137.17431,-83.06828865,-1154,-292,1190.36969,4964.692506,3.3484E-10
11830,40455.33544,-82.90168208,-1172,-303,1210.53418,4999.160626,3.35135E-10
12020,39791.86462,-82.71057779,-1190,-315,1230.985378,5048.850898,3.35478E-10
12210,39235.63513,-82.53511521,-1205,-326,1248.31927,5097.436238,3.35072E-10
12400,38657.04924,-82.58651266,-1222,-333,1266.559513,4987.881598,3.34837E-10
12590,37963.12768,-82.53467211,-1243,-343,1289.456475,4932.405035,3.35852E-10
12780,37300.44847,-82.25744847,-1263,-358,1312.757784,5025.195354,3.36954E-10
12970,36888.69046,-81.96064383,-1275,-372,1328.160005,5159.004283,3.35965E-10
13160,36430.77426,-81.79569478,-1289,-384,1344.982156,5198.791906,3.35415E-10
