Frequency,Impedance,Phase,Real,Imaginary,Magnitude
10000,9929.315513,-34.52713511,-237,-428,489.2371613
10175,9888.219139,-33.82345098,-232,-438,495.6490694
10350,9895.056526,-33.36942933,-224,-443,496.4121272
10525,10011.1276,-33.49525164,-216,-435,485.6758178
10700,9900.972875,-34.43432187,-224,-433,487.5089743
10875,9811.198128,-34.67767547,-229,-434,490.7107091
11050,9647.247461,-33.84038863,-229,-443,498.6882794
11225,9258.991926,-36.00338329,-247,-452,515.0854298
11400,9669.622409,-34.5897967,-232,-443,500.0729947
11575,9553.111177,-34.48973834,-231,-449,504.9376199
11750,9457.761831,-34.65059171,-234,-452,508.9793709
11925,9362.226224,-34.49383929,-235,-458,514.7708228
12100,9372.09807,-34.53843646,-235,-460,516.5510623
12275,9329.76586,-34.62890292,-235,-461,517.4417842
12450,9320.978134,-34.8798672,-235,-460,516.5510623
12625,9166.06636,-34.84132168,-240,-467,525.0609488
12800,9143.332044,-34.7002647,-241,-471,529.076554
12975,9050.415659,-35.03080703,-244,-478,536.6749482
13150,9040.038206,-34.23351908,-235,-483,537.1349923
13325,9073.604538,-34.44384409,-233,-481,534.4623467
13500,8993.50751,-34.66525334,-236,-483,537.5732508
13675,8917.602048,-34.40375576,-237,-486,540.7078694
13850,8897.111478,-34.94927571,-243,-487,544.2591295
14025,8831.339935,-34.74701596,-240,-495,550.1136246
14200,8822.894174,-34.73400642,-237,-497,550.6160187
14375,8796.056337,-34.56207582,-234,-498,550.2363129
14550,8824.027678,-34.80560079,-233,-495,547.0959696
14725,8751.389486,-34.97251543,-234,-498,550.2363129
14900,8657.778992,-35.14627024,-239,-502,555.9901078
15075,8762.599669,-34.95884212,-234,-502,553.8591879
15250,8718.234116,-34.62374789,-233,-504,555.252195
15425,8599.951128,-34.98586536,-237,-509,561.4712815
15600,8570.695623,-35.10435188,-238,-508,560.9884134
15775,8509.589116,-34.97897779,-237,-514,566.0079505
15950,8458.445007,-35.03626417,-239,-519,571.3860341
16125,8420.524955,-35.00587433,-238,-522,573.696784
16300,8385.720229,-34.89316422,-236,-526,576.517129
16475,8380.695555,-35.09882218,-237,-524,575.1043384
16650,8331.94166,-35.436499,-241,-526,578.581887
16825,8283.520701,-35.01031941,-240,-532,583.6300198
17000,8291.917031,-35.13993011,-238,-533,583.7233934
17175,8242.697923,-34.91739113,-235,-538,587.0851727
17350,8250.587948,-35.08431267,-235,-537,586.1689176
17525,8226.616713,-34.97925618,-234,-538,586.6856058
17700,8161.12144,-34.88599647,-236,-542,591.1514188
17875,8099.556958,-35.01494805,-237,-547,596.1358905
18050,8051.096571,-34.50092584,-233,-555,601.9252445
18225,8079.491002,-34.83657978,-231,-554,600.2307889
18400,8108.444986,-34.86466813,-226,-552,596.4729667
18575,8094.4994,-35.06068907,-226,-550,594.6225694
18750,8035.134458,-35.18100663,-230,-552,598
18925,8014.363705,-35.53386302,-234,-552,599.5498311
19100,7967.619845,-35.26481862,-234,-557,604.1564367
19275,7887.648622,-35.3203975,-235,-563,610.0770443
19450,7883.986001,-35.38062239,-234,-565,611.5398597
19625,7858.15223,-35.31817686,-234,-568,614.312624
19800,7838.997025,-35.33897716,-233,-569,614.8577071
19975,7816.033993,-35.31179743,-232,-571,616.3318911
20150,7808.016655,-35.39259785,-232,-572,617.2584548
20325,7748.879589,-35.35311826,-233,-576,621.3412911
20500,7731.77705,-35.28023647,-233,-579,624.1233852
20675,7661.904833,-35.55365655,-237,-583,629.3313912
20850,7659.297307,-35.51816199,-233,-586,630.6227081
21025,7679.059775,-35.23724078,-229,-586,629.1557836
21200,7674.032148,-35.76611363,-231,-586,629.8864977
21375,7613.254268,-35.25137459,-228,-590,632.5219364
21550,7596.459969,-35.38162642,-229,-593,635.6807375
21725,7575.88403,-35.64807488,-232,-593,636.7676185
21900,7555.024382,-35.42396626,-228,-598,639.9906249
22075,7533.302349,-35.62606156,-229,-601,643.1500603
22250,7529.289748,-35.39500595,-225,-601,641.7367061
22425,7481.362162,-35.50866337,-225,-603,643.6101304
22600,7511.411752,-35.20485856,-222,-601,640.6910332
22775,7450.958131,-35.69177943,-227,-607,648.0570963
22950,7434.532102,-35.69239852,-225,-606,646.421689
23125,7391.901769,-35.52093424,-224,-613,652.64462
23300,7439.059466,-35.4089831,-221,-609,647.8595527
23475,7391.329322,-35.75644797,-223,-613,652.3020773
23650,7330.49918,-35.91869509,-227,-618,658.3714757
23825,7337.330915,-35.6188094,-223,-619,657.9437666
24000,7203.384313,-35.49879708,-223,-633,671.1318797
24175,7312.369135,-35.96485495,-226,-620,659.9060539
24350,7280.633672,-35.77090565,-222,-623,661.3720587
24525,7255.57019,-35.59443639,-219,-628,665.0902194
24700,7214.999271,-35.74064526,-222,-630,667.9700592
24875,7195.844616,-36.13453928,-223,-633,671.1318797
25050,7180.039613,-35.63427628,-216,-636,671.6784945
25225,7185.573586,-35.81810534,-219,-634,670.7585258
25400,7156.320034,-36.10512245,-220,-636,672.9754825
25575,7120.250248,-35.78945033,-218,-641,677.0561277
25750,7123.338417,-35.5971298,-216,-643,678.3104009
25925,7115.406208,-35.75306322,-214,-646,680.523328
26100,7105.176516,-35.97658823,-213,-648,682.1092288
26275,7167.664678,-35.64361565,-207,-643,675.4983346
26450,7106.146901,-36.14474028,-210,-643,676.4236838
26625,7049.407518,-35.96840797,-211,-647,680.536553
26800,7043.085794,-35.99114819,-208,-650,682.4690469
26975,7038.936058,-36.26078311,-215,-651,685.5844222
27150,6999.507016,-36.356208,-215,-656,690.3339771
27325,6977.130911,-36.14564036,-211,-657,690.0507228
27500,6958.257266,-36.16026433,-210,-660,692.6037828
27675,6954.449862,-36.10028928,-209,-660,692.301235
27850,6928.218164,-36.27014028,-209,-663,695.1618517
28025,6917.368928,-36.51483923,-211,-664,696.7187381
28200,6947.329994,-36.39714749,-208,-663,694.8618568
28375,6915.042356,-36.28977861,-205,-664,694.9251758
28550,6919.621651,-36.2921526,-204,-666,696.5428917
28725,6887.532374,-36.41882689,-208,-672,703.454334
28900,6860.718814,-35.76743986,-199,-674,702.7638295
29075,6838.896919,-36.25489639,-202,-676,705.5352578
29250,6837.442955,-36.3615026,-202,-674,703.6192152
29425,6808.505033,-35.92810473,-198,-680,708.2400723
29600,6697.538802,-36.67974835,-206,-689,719.1362875
29775,6803.377187,-35.94974121,-195,-682,709.3299655
29950,6740.063136,-36.08945787,-196,-687,714.4123459
30125,6790.170494,-35.73766786,-189,-685,710.5955249
30300,6713.190623,-36.63449495,-199,-692,720.0451375
30475,6769.762331,-37.04011353,-201,-682,711.0028129
30650,6742.61094,-36.85159098,-200,-686,714.5600045
30825,6741.003336,-36.52014137,-194,-687,713.866234
31000,6642.444262,-36.28371932,-194,-698,724.4584184
31175,6573.075626,-36.27690591,-194,-704,730.2410561
31350,6628.020696,-36.9856374,-198,-698,725.539799
31525,6621.101171,-36.55088869,-192,-699,724.8896468
31700,6635.150882,-36.59025347,-191,-701,726.5548844
31875,6603.279857,-36.59352761,-190,-703,728.2231801
32050,6585.973814,-36.68374123,-191,-705,730.4149506
32225,6566.471786,-36.7313604,-192,-708,733.5720823
32400,6574.865117,-36.70574297,-189,-709,733.758816
32575,6545.689609,-36.74892897,-189,-714,738.5912266
32750,6547.191503,-36.60291498,-185,-714,737.5777925
32925,6528.68157,-36.46662329,-182,-714,736.8310525
33100,6530.228058,-36.76661742,-184,-717,740.2330714
33275,6521.040433,-36.93648403,-187,-717,740.9844803
33450,6474.693393,-36.88057655,-183,-720,742.8923206
33625,6480.403491,-36.70981338,-183,-723,745.8002414
33800,6506.472892,-36.66460422,-178,-723,744.5891485
33975,6460.396316,-36.93044878,-178,-725,746.5313121
34150,6469.406633,-36.87742755,-176,-724,745.08523
34325,6451.514365,-37.07733232,-177,-724,745.322078
34500,6417.604628,-37.19104228,-180,-727,748.9519344
34675,6409.080432,-37.23575653,-178,-728,749.4451281
34850,6392.998162,-37.21237056,-178,-731,752.3596215
35025,6410.800393,-37.3073139,-177,-729,750.1799784
35200,6377.150428,-37.06841858,-173,-735,755.0854256
35375,6406.256229,-37.06821584,-173,-734,754.1120606
35550,6334.923403,-37.0202483,-171,-738,757.5519784
35725,6333.87826,-37.15127483,-171,-742,761.4492761
35900,6302.85839,-37.14375365,-170,-746,765.1248264
36075,6379.399433,-37.03243179,-167,-738,756.6591042
36250,6301.839695,-37.44374255,-169,-744,762.9528164
36425,6304.294693,-37.38323291,-168,-745,763.7074047
36600,6277.869421,-37.21285174,-166,-748,766.1984077
36775,6248.885596,-37.49641955,-170,-750,769.0253572
36950,6261.414486,-37.34565923,-165,-752,769.888953
37125,6235.227613,-37.35751152,-166,-754,772.0569927
37300,6211.229729,-37.75736832,-165,-756,773.7964849
37475,6214.443411,-37.53143679,-161,-759,775.8878785
37650,6178.90593,-37.39096957,-161,-761,777.8444575
37825,6182.962882,-37.25988514,-159,-762,778.4118447
38000,6196.303194,-37.45034802,-157,-761,777.0263831
38175,6214.556185,-37.35523483,-154,-760,775.4456783
38350,6176.450015,-37.57630281,-154,-763,778.386151
38525,6142.71464,-38.21807769,-160,-765,781.5529413
38700,6136.647053,-37.68818332,-156,-767,782.7036476
38875,6144.262931,-37.8361577,-156,-766,781.7237364
39050,6168.160106,-37.30567583,-149,-768,782.3202669
39225,6127.585261,-37.7360122,-153,-771,786.0343504
39400,6110.350081,-37.57758572,-148,-772,786.058522
39575,6061.190619,-37.69675392,-148,-777,790.9696581
39750,6071.12073,-37.65177904,-147,-777,790.7831561
39925,6047.06602,-37.74398983,-150,-780,794.2921377
40100,6063.621034,-37.62337003,-147,-781,794.713785
40275,6046.955215,-37.62807332,-145,-784,797.2960554
40450,6024.490467,-37.83825064,-141,-789,801.499844
40625,6044.165813,-37.80168542,-142,-785,797.7399326
40800,6027.984991,-37.72497285,-139,-787,799.1808306
40975,6034.698356,-37.85806857,-139,-785,797.2113898
41150,6020.856193,-37.78475123,-137,-788,799.8206049
41325,6016.047712,-37.69210921,-137,-789,800.8058441
41500,5975.20417,-37.50598232,-135,-793,804.4090999
41675,5994.153371,-37.90637676,-133,-794,805.0621094
41850,5983.171711,-37.90316584,-131,-794,804.7341176
42025,5976.437999,-37.94216327,-130,-794,804.5719359
42200,5958.802737,-38.18055161,-132,-795,805.8839867
42375,5934.027788,-38.09341608,-132,-798,808.843619
42550,5952.264495,-38.37082072,-131,-792,802.760861
42725,5913.392746,-38.03641219,-129,-803,813.2957642
42900,5932.51728,-38.17419688,-128,-801,811.1627457
43075,5901.780267,-37.95042447,-125,-805,814.6471629
43250,5899.360533,-38.05525838,-124,-806,815.4826792
43425,5890.573502,-38.25872697,-124,-807,816.471065
43600,5889.690763,-38.11572565,-120,-809,817.8514535
43775,5894.541367,-38.20716791,-120,-808,816.8622895
43950,5860.42878,-38.05768963,-117,-811,819.3961191
44125,5868.049892,-38.37939977,-119,-809,817.7053259
44300,5868.115028,-38.40325197,-118,-810,818.5499374
44475,5849.711486,-38.34395662,-117,-812,820.3858848
44650,5812.683729,-38.19889363,-115,-818,826.0441877
44825,5833.604259,-38.65601483,-116,-816,824.2038583
45000,5821.743552,-38.32198302,-112,-819,826.6226467
45175,5807.017796,-38.3963496,-112,-822,829.595082
45350,5816.113343,-38.44241148,-109,-819,826.2215199
45525,5819.67123,-38.39663907,-108,-821,828.0730644
45700,5797.402766,-38.32768197,-105,-824,830.6629882
45875,5835.487878,-38.5917943,-103,-820,826.4435855
46050,5776.76081,-38.59756084,-104,-824,830.5371756
46225,5757.910775,-38.26166713,-101,-825,831.1594312
46400,5737.067736,-38.53182767,-102,-829,835.2514591
46575,5741.861935,-38.47245754,-102,-831,837.2365257
46750,5747.35331,-38.78850954,-102,-831,837.2365257
46925,5729.106201,-38.50690377,-97,-834,839.6219387
47100,5719.642716,-38.64877479,-98,-835,840.7312293
47275,5711.003506,-38.72294537,-98,-836,841.7244205
47450,5691.182746,-39.02121206,-99,-838,843.827589
47625,5690.970632,-38.82283743,-95,-837,842.3740262
47800,5679.612391,-38.5769782,-92,-841,846.0171393
47975,5672.186413,-38.87761323,-92,-843,848.0053066
48150,5662.981549,-38.8748139,-91,-843,847.8973995
48325,5669.788145,-38.73419494,-88,-844,848.5752766
48500,5651.51146,-38.8742822,-88,-845,849.5698912
48675,5629.833236,-39.0289952,-88,-849,853.5484755
48850,5629.477079,-38.97795287,-86,-849,853.3445963
49025,5629.74771,-38.8600575,-83,-849,853.0474782
49200,5626.943511,-39.05155342,-82,-850,853.9461341
49375,5618.404305,-38.7402337,-80,-852,855.7476263
49550,5602.080013,-39.01486397,-80,-853,856.7432521
49725,5600.252222,-39.11644433,-75,-855,858.2831701
49900,5603.421508,-38.76455368,-75,-853,856.2908384
50075,5591.556873,-39.07391875,-76,-854,857.3750638
50250,5576.045399,-39.4933758,-78,-856,859.546392
50425,5568.578826,-38.90565235,-71,-860,862.9258369
50600,5555.311078,-39.08273068,-72,-861,864.0052083
50775,5548.632768,-39.00620994,-67,-863,865.5969039
50950,5548.755895,-39.21404652,-70,-864,866.8310101
51125,5506.096736,-39.2540858,-67,-867,869.5849585
51300,5531.993466,-39.17921374,-66,-865,867.514265
51475,5518.822811,-39.12086822,-64,-867,869.3589592
51650,5515.588428,-39.32341136,-65,-869,871.4275644
51825,5502.0357,-39.21799816,-61,-871,873.1334377
52000,5501.53074,-39.17018365,-59,-871,872.9959908
52175,5501.095148,-39.46244748,-58,-867,868.9378574
52350,5484.977518,-39.1107666,-55,-874,875.7288393
52525,5482.338069,-39.27722973,-55,-874,875.7288393
52700,5474.401073,-39.42163515,-56,-875,876.7901687
52875,5469.232953,-39.45522556,-52,-876,877.5420218
53050,5442.882242,-39.40088634,-52,-881,882.5332855
53225,5462.04697,-39.47518128,-52,-881,882.5332855
53400,5463.466966,-39.25517742,-45,-878,879.1524327
53575,5441.016335,-39.56037777,-46,-881,882.2000907
53750,5442.400037,-39.71038979,-45,-881,882.1485136
53925,5426.187791,-39.61008707,-43,-883,884.0463789
54100,5421.304111,-39.48848745,-42,-882,882.9994337
54275,5413.347378,-39.73295916,-45,-885,886.1433293
54450,5406.005311,-39.45194895,-40,-887,887.9014585
54625,5382.377565,-39.57618655,-37,-889,889.7696331
54800,5399.963729,-39.57347405,-36,-888,888.7294301
54975,5378.1029,-39.6601955,-35,-890,890.6879364
55150,5375.787688,-39.89220698,-36,-890,890.7277923
55325,5362.736263,-39.9709355,-36,-892,892.7261618
55500,5340.629536,-39.85666846,-37,-896,896.7636255
55675,5283.45094,-39.46068863,-32,-904,904.5661944
55850,5348.535733,-39.60669564,-28,-899,899.4359343
56025,5375.229977,-39.61728262,-26,-895,895.377574
56200,5367.74229,-39.68851007,-25,-898,898.3479281
56375,5324.67857,-39.69888543,-19,-902,902.2000887
56550,5320.214542,-39.79952369,-20,-902,902.2217022
56725,5320.214542,-39.79952369,-20,-902,902.2217022
56900,5322.026391,-39.71101466,-18,-901,901.1797823
57075,5313.900073,-40.07394332,-17,-903,903.160008
57250,5284.468261,-39.97272796,-15,-906,906.1241637
57425,5293.606223,-39.88369668,-12,-907,907.0793791
57600,5271.632659,-39.82354482,-10,-908,908.0550644
57775,5261.929889,-39.8929033,-11,-911,911.0664081
57950,5288.435429,-39.74319844,-7,-909,909.0269523
58125,5263.386976,-39.87694278,-6,-911,911.0197583
58300,5265.426808,-40.09116653,-6,-911,911.0197583
58475,5266.004773,-40.20370091,-5,-912,912.013706
58650,5238.872767,-40.11551641,-3,-916,916.0049127
58825,5183.550777,-40.88392947,-7,-910,910.0269227
59000,5215.825837,-310.1660136,0,-917,917
59175,5228.56816,-310.2574333,0,-916,916
59350,5216.545742,-310.3417459,0,-918,918
59525,5212.816747,-40.09949602,4,-920,920.0086956
59700,5201.362489,-39.85147559,8,-922,922.0347065
59875,5224.670345,-40.14000095,7,-921,921.0266011
60050,5195.573606,-40.21653698,11,-923,923.0655448
60225,5187.201501,-40.22348888,13,-925,925.0913468
60400,5177.447661,-40.2017171,14,-926,926.1058255
60575,5184.041741,-40.37588206,14,-926,926.1058255
60750,5177.676342,-40.27565926,17,-927,927.1558661
60925,5173.044609,-40.33761131,18,-927,927.1747408
61100,5160.145979,-40.39868245,22,-931,931.2598993
61275,5168.851077,-40.25696463,25,-930,930.3359608
61450,5173.365508,-40.30961736,26,-927,927.3645454
61625,5166.924411,-40.94662226,22,-930,930.2601787
61800,5140.224053,-40.29019323,29,-930,930.4520407
61975,5163.461824,-40.59411959,29,-929,929.452527
62150,5171.328563,-40.25390376,31,-927,927.5181939
62325,5130.970319,-40.33758014,34,-934,934.6186388
62500,5119.364339,-40.51084955,34,-936,936.6173178
62675,5108.463188,-40.51528136,34,-938,938.6160024
62850,5095.798384,-40.53850487,37,-938,938.7294605
63025,5113.019903,-40.37701638,41,-936,936.8975398
63200,5101.652643,-40.26043608,43,-938,938.9850904
63375,5111.295062,-40.52278303,45,-938,939.0788039
63550,5089.872524,-40.4500643,45,-942,943.0742283
63725,5076.548008,-40.61926708,45,-943,944.0730904
63900,5073.6263,-40.65284328,48,-944,945.2195512
64075,5064.101695,-40.86616777,48,-945,946.2182623
64250,5070.181749,-40.33644786,54,-945,946.5415997
64425,5069.879049,-40.9141167,48,-946,947.2169762
64600,5024.602322,-40.78983073,53,-950,951.4772725
64775,5049.71606,-41.03956728,53,-948,949.4803842
64950,5048.162394,-40.73840725,58,-948,949.7726044
65125,5040.160008,-40.6927415,61,-950,951.9564066
65300,5050.439542,-40.78465555,63,-950,952.0866557
65475,5031.450421,-40.84990705,64,-950,952.153349
65650,5018.710239,-41.02289643,64,-951,953.1510898
65825,5011.205822,-40.95367555,66,-953,955.2826807
66000,5003.439167,-40.8937202,67,-953,955.352291
66175,4994.453747,-40.95642544,69,-956,958.4868283
66350,4990.315102,-40.8709394,72,-958,960.7018268
66525,4986.398461,-41.09159157,71,-956,958.6328807
66700,4979.363077,-41.08304509,72,-958,960.7018268
66875,4970.807875,-40.92199618,77,-960,963.0830701
67050,4974.259591,-41.07372389,78,-960,963.1635375
67225,4950.913999,-41.14035041,80,-963,966.3172357
67400,4957.051661,-41.04636319,83,-963,966.5702251
67575,4955.41274,-41.18649691,82,-962,965.4884774
67750,4944.469346,-41.16322342,84,-964,967.6528303
67925,4921.369379,-41.30005327,84,-965,968.6490593
68100,4924.936036,-41.12149974,88,-969,972.9876669
68275,4930.271671,-41.39552034,89,-968,972.0828154
68450,4921.343702,-41.31560913,91,-966,970.2767646
68625,4916.287755,-41.25352027,93,-969,973.4526183
68800,4921.542585,-41.44306313,94,-968,972.5533404
68975,4918.982013,-41.22049047,98,-971,975.932887
69150,4905.024288,-41.3955171,98,-971,975.932887
69325,4948.025802,-41.45118637,100,-966,971.1621904
69500,4887.084193,-41.37860615,100,-973,978.1252476
69675,4894.967346,-41.51845157,104,-972,977.5479528
69850,4889.467329,-41.53399986,103,-971,976.4476432
70025,4867.632231,-41.43775552,108,-975,980.9633021
70200,4870.842554,-41.62536151,109,-973,979.0863088
70375,4878.788615,-41.35525512,113,-976,982.5197199
70550,4880.124301,-41.41943353,114,-975,981.6419918
70725,4858.940399,-41.45106343,116,-977,983.8622871
70900,4858.880223,-41.2884877,118,-976,983.1073187
71075,4827.889372,-41.61412026,113,-980,986.4932843
71250,4855.048668,-41.50945794,121,-979,986.4491877
71425,4849.564697,-41.45899533,122,-980,987.5646814
71600,4839.243947,-41.58117724,126,-982,990.0505038
71775,4832.387727,-41.50982373,128,-981,989.3154199
71950,4839.072198,-41.3033075,133,-982,990.9656906
72125,4819.231113,-41.35871279,133,-981,989.9747472
72300,4823.097389,-41.61410525,133,-982,990.9656906
72475,4826.156859,-41.62302348,135,-982,991.236097
72650,4817.296884,-41.64651434,137,-983,992.5008816
72825,4839.277416,-41.75406037,139,-980,989.8085674
73000,4813.143651,-41.62347779,142,-985,995.1828978
73175,4819.082726,-41.39854157,145,-984,994.6260604
73350,4812.381264,-41.63805345,146,-982,992.794037
73525,4809.493429,-41.40985313,150,-982,993.390155
73700,4816.211393,-41.56095838,151,-983,994.5300398
73875,4798.855169,-41.4806017,155,-984,996.1330232
