Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
1000,5000.02675,-3.62E-03,-15708,-1329,15764.12081,5.00E+03,5.04E-04
1190,5000.284354,-3.94E-03,-8635,-7137,11202.67798,5.00E+03,3.89E-04
1380,5000.96451,3.86E-02,-1958,-6854,7128.189111,5.00E+03,-3.42E-05
1570,4998.31729,-0.038078504,1181,-3609,3797.320371,5.00E+03,3.05E-05
1760,5001.170879,-0.119111617,1056,-844,1351.840227,5.00E+03,8.70E-06
1950,5000.969332,0.312696417,-183,6,183.0983342,5.00E+03,-2.99E-06
2140,5004.937552,2.93E-02,-798,-414,898.9994438,5.00E+03,-2.90E-05
2330,5008.504335,-6.14E-02,-531,-841,994.6064548,5.01E+03,1.27E-05
2520,4992.835216,6.88E-03,-58,-693,695.4228929,4.99E+03,-1.05E-04
2710,5019.582498,2.94E-02,33,-251,253.1600284,5.02E+03,-2.28E-05
2900,4997.140607,0.769387408,-223,-11,223.2711356,5.00E+03,-8.18E-07
3090,4991.336803,-0.147793324,-447,-87,455.3877469,4.99E+03,4.00E-06
3280,5000,0,-440,-242,502.1593373,5.00E+03,#DIV/0!
3470,4995.982842,-0.410012581,-308,-244,392.9376541,5.00E+03,1.28E-06
3660,5000,0,-268,-116,292.027396,5.00E+03,#DIV/0!
3850,4999.074646,0.157123766,-363,-25,363.8598631,5.00E+03,-3.02E-06
4040,5000,0,-470,-51,472.7589238,5.00E+03,#DIV/0!
4230,5020.17218,-0.882839537,-486,-123,501.323249,5.02E+03,4.86E-07
4420,5006.663991,-0.237057757,-438,-140,459.8304035,5.01E+03,1.74E-06
4610,5000,0,-422,-89,431.2829698,5.00E+03,#DIV/0!
4800,4988.716813,0.108741337,-478,-42,479.8416405,4.99E+03,-3.50E-06
4990,4990.02852,9.26E-02,-548,-58,551.0607952,4.99E+03,-3.95E-06
5180,4998.394884,9.78E-02,-566,-107,576.0251731,5.00E+03,-3.60E-06
5370,5025.831908,7.20E-02,-548,-134,564.1453713,5.03E+03,-4.69E-06
5560,4990.948115,-1.93E-02,-534,-99,543.0994384,4.99E+03,1.71E-05
5750,4998.964976,9.96E-02,-567,-68,571.0630438,5.00E+03,-3.18E-06
5940,4983.227594,7.04E-02,-622,-71,626.0391362,4.98E+03,-4.38E-06
6130,5005.075398,0.185542166,-650,-106,658.5863649,5.01E+03,-1.60E-06
6320,5011.914423,-0.239138852,-645,-127,657.3842103,5.01E+03,1.20E-06
6510,4990.560444,-0.380180808,-638,-118,648.8204682,4.99E+03,7.38E-07
6700,4986.08887,-0.110186329,-655,-92,661.4295125,4.99E+03,2.48E-06
6890,5008.022538,-7.03E-02,-694,-92,700.0714249,5.01E+03,3.76E-06
7080,5005.723857,8.85E-02,-727,-109,735.1258396,5.01E+03,-2.91E-06
7270,5015.392527,-0.124866641,-739,-125,749.4971648,5.02E+03,2.00E-06
7460,5001.118447,-7.45E-02,-747,-128,757.8871948,5.00E+03,3.28E-06
7650,4978.925348,0.110665271,-768,-124,777.9460136,4.98E+03,-2.16E-06
7840,4994.837464,-8.14E-02,-796,-125,805.7549255,4.99E+03,2.86E-06
8030,5002.032339,-0.135576664,-821,-140,832.8511272,5.00E+03,1.67E-06
8220,5005.808153,1.24E-02,-832,-155,846.3149532,5.01E+03,-1.79E-05
